100127,0,0,0,0,0,0.0
100130,0,0,0,0,0,0.0
100277,20,14,27,28,8,-0.9999999999997051
100279,22,56,61,84,10,0.4000000000019899
100484,9,8,19,20,4,0.2000000000001907
100563,5,9,8,1,0,-1.799999999999412
100690,0,0,0,0,0,0.0
100725,0,0,2,2,0,0.19999999999999998
100954,7,4,10,15,27,5.0999999999987224
100960,0,0,0,0,0,0.0
100967,0,0,0,1,0,0.0999999999999827
101069,3,6,9,7,8,1.0999999999999317
101115,45,60,98,101,64,7.899999999999746
101117,0,0,0,0,0,0.0
101512,0,0,0,0,0,0.0
101522,0,0,0,0,0,0.0
101792,2,4,2,0,0,-0.7999999999997578
101835,1,4,7,2,1,-0.19999999999975782
101891,5,1,4,3,1,-0.5999999999999825
102212,0,0,0,0,0,0.0
10235,0,0,0,0,0,0.0
102485,0,0,0,0,0,0.0
102515,0,0,0,0,0,0.0
102550,1,1,3,1,1,3.468059173172833e-14
102744,18,13,23,32,11,0.4999999999999494
102765,3,2,3,8,7,1.3999999999996549
102814,5,2,2,0,2,-0.7999999999999651
102838,0,0,0,1,1,0.29999999999993093
102849,87,58,35,41,9,-17.29999999999756
102878,7,6,12,11,4,-0.09999999999987841
102927,0,0,0,0,0,0.0
103011,0,0,0,0,0,0.0
10317,0,0,0,0,0,0.0
103249,0,0,0,0,0,0.0
103485,0,0,7,3,2,0.6999999999999655
103541,72,32,56,21,14,-12.699999999998457
103626,0,0,0,0,0,0.0
103833,0,0,0,0,0,0.0
103953,0,0,0,0,0,0.0
104241,0,0,0,0,0,0.0
104392,0,0,0,0,0,0.0
104464,0,0,0,2,0,0.1999999999999654
104477,0,0,0,0,0,0.0
104510,0,0,0,0,0,0.0
104590,0,1,0,0,0,-0.09999999999994813
104761,0,0,0,0,0,0.0
104788,0,0,0,0,0,0.0
104874,1,0,0,1,2,0.29999999999987914
10489,0,0,0,0,0,0.0
104945,0,0,0,0,0,0.0
105004,0,0,0,0,0,0.0
105010,0,0,0,2,2,0.5999999999998619
105029,0,0,0,0,0,0.0
105101,0,1,0,0,0,-0.09999999999994813
105326,4,2,14,8,0,-0.19999999999979245
105521,0,0,0,0,0,0.0
105553,0,0,0,0,0,0.0
105555,0,0,0,0,0,0.0
105577,0,0,0,0,0,0.0
105957,0,0,0,0,0,0.0
105972,0,0,0,0,0,0.0
106019,0,0,0,0,0,0.0
106039,0,0,0,0,0,0.0
106041,0,0,0,0,0,0.0
106185,0,0,0,0,0,0.0
106192,0,0,0,0,0,0.0
10625,0,0,0,0,0,0.0
10628,0,0,0,0,0,0.0
106377,0,0,0,0,0,0.0
106424,0,0,0,0,0,0.0
106444,0,0,0,0,0,0.0
106528,0,0,0,0,0,0.0
106548,0,0,0,0,0,0.0
106621,0,0,0,0,0,0.0
106871,0,0,0,0,0,0.0
106916,0,0,0,0,0,0.0
106937,0,0,0,0,0,0.0
106944,0,0,0,0,0,0.0
107062,0,0,0,0,0,0.0
107451,0,0,0,0,0,0.0
107460,0,0,0,0,0,0.0
107593,0,0,0,0,0,0.0
107752,0,0,0,0,0,0.0
107920,0,0,0,0,0,0.0
10796,0,0,0,0,0,0.0
10797,0,0,0,0,0,0.0
108147,0,0,0,0,0,0.0
108478,0,0,0,0,0,0.0
108524,0,0,0,0,0,0.0
108626,0,0,0,0,0,0.0
108700,0,0,0,0,0,0.0
10878,0,0,0,0,0,0.0
108821,0,0,0,0,0,0.0
109162,0,0,0,0,0,0.0
109255,0,0,0,0,0,0.0
109346,0,0,0,0,0,0.0
109483,0,0,0,0,0,0.0
109642,0,0,0,0,0,0.0
109712,0,0,0,0,0,0.0
109727,48,66,52,55,21,-6.4999999999977165
109742,0,0,0,0,0,0.0
11109,0,0,0,0,0,0.0
11178,0,0,0,0,0,0.0
11181,0,0,0,0,0,0.0
1133,1381,831,710,446,185,-277.6999999999619
11342,0,0,0,0,0,0.0
11354,0,0,0,0,0,0.0
11365,0,0,0,0,0,0.0
114152,457,717,268,322,101,-110.69999999996897
